"ITEM.NAME","FOOD","PORTION.SIZE","NFGD.Notes","TIMEFRAME","SEX","NFGD.Size.equivalent","Food.ID","NCode","Name","Age.Group","Sex","Size","GRAMWT_G_USDA","ENERGY_KCAL_USDA","PROTEIN_G_USDA","PROTEIN_G_.DV","VEGETABLE_PROTEIN_G_NDSR","VEGETABLE_PROTEIN_.DV","DIETARY_FIBER_G_USDA","DIETARY_FIBER_.DV","TOTAL_DIETARY_FIBER_G_NDSR","TOTAL_DIETARY_FIBER_.DV","RETINOL_MCG_USDA","RETINOL_MCG_.DV","VITAMIN_A_RAE_MCG_USDA","VITAMIN_A_RAE_MCG_USDA_.DV","BETA_CAROTENE_MCG_USDA","BETA_CAROTENE_MCG_.DV","ALPHA_CAROTENE_MCG_USDA","ALPHA_CAROTENE_MCG_.DV","BETA_CRYPTOXANTHIN_MCG_USDA","BETA_CRYPTOXANTHIN_MCG_.DV","LUTEIN_ZEAXANTHIN_MCG_USDA","LUTEIN_ZEAXANTHIN_MCG_.DV","LYCOPENE_MCG_USDA","LYCOPENE_MCG_.DV","VITAMIN_E_AS_ALPHA_TOCOPHEROL_MG_USDA","VITAMIN_E_AS_ALPHA_TOCOPHEROL_MG_.DV","VITAMIN_E_IU_NDSR","VITAMIN_E_IU_.DV","VITAMIN_K_MCG_USDA","VITAMIN_K_MCG_.DV","VITAMIN_C_MG_USDA","VITAMIN_C_MG_USDA_.DV","THIAMIN_VITAMIN_B1_MG_USDA","THIAMIN_VITAMIN_B1_MG_USDA_.DV","RIBOFLAVIN_VITAMIN_B2_MG_USDA","RIBOFLAVIN_VITAMIN_B2_MG_USDA_.DV","NIACIN_MG_USDA","NIACIN_MG_USDA_.DV","NIACIN_EQUIVALENTS_MG_NDSR","NIACIN_EQUIVALENTS_MG_NDSR_.DV","VITAMIN_B6_MG_USDA","VITAMIN_B6_MG_USDA_.DV","TOTAL_FOLATE_MCG_USDA","TOTAL_FOLATE_MCG_USDA_.DV","FOLATE_DFE_MCG_USDA","FOLATE_DFE_MCG_USDA_.DV","FOOD_FOLATE_MCG_USDA","FOOD_FOLATE_MCG_USDA_.DV","FOLIC_ACID_MCG_USDA","FOLIC_ACID_MCG_USDA_.DV","CALCIUM_MG_USDA","CALCIUM_MG_USDA_.DV","PHOSPHORUS_MG_USDA","PHOSPHORUS_MG_USDA_.DV","MAGNESIUM_MG_USDA","MAGNESIUM_MG_USDA_.DV","IRON_MG_USDA","IRON_MG_USDA_.DV","ZINC_MG_USDA","ZINC_MG_USDA_.DV","COPPER_MG_USDA","COPPER_MG_USDA_.DV","SELENIUM_MCG_USDA","SELENIUM_MCG_USDA_.DV","SODIUM_MG_USDA","SODIUM_MG_USDA_.DV","POTASSIUM_MG_USDA","POTASSIUM_MG_USDA_.DV","MANGANESE_MG_NDSR","MANGANESE_MG_NDSR_.DV","OMEGA_3_FATTY_ACIDS_G_NDSR","OMEGA_3_FATTY_ACIDS_G_NDSR_.DV","DAIDZEIN_MG_NDSR","DAIDZEIN_MG_NDSR_.DV","GENISTEIN_MG_NDSR","GENISTEIN_MG_NDSR_.DV","GLYCITEIN_MG_NDSR","GLYCITEIN_MG_NDSR_.DV","COUMESTROL_MG_NDSR","COUMESTROL_MG_NDSR_.DV","BIOCHANIN_A_MG_NDSR","BIOCHANIN_A_MG_NDSR_.DV","FORMONONETIN_MG_NDSR","FORMONONETIN_MG_NDSR_.DV","ALCOHOL_G_USDA","ALCOHOL_G_USDA_.DV","CARBOHYDRATE_G_USDA","CARBOHYDRATE_G_USDA_.DV","TOTAL_SUGARS_G_USDA","TOTAL_SUGARS_G_USDA_.DV","ADDED_SUGARS_BY_TOTAL_SUGARS_G_NDSR","ADDED_SUGARS_BY_TOTAL_SUGARS_G_NDSR_.DV","FRUCTOSE_G_NDSR","FRUCTOSE_G_NDSR_.DV","GALACTOSE_G_NDSR","GALACTOSE_G_NDSR_.DV","GLUCOSE_G_NDSR","GLUCOSE_G_NDSR_.DV","LACTOSE_G_NDSR","LACTOSE_G_NDSR_.DV","MALTOSE_G_NDSR","MALTOSE_G_NDSR_.DV","SUCROSE_G_NDSR","SUCROSE_G_NDSR_.DV","STARCH_G_NDSR","STARCH_G_NDSR_.DV","TOTAL_TRANS_FATTY_ACIDS_TRANS_G_NDSR","TOTAL_TRANS_FATTY_ACIDS_TRANS_G_NDSR_.DV","ERYTHRITOL_G_NDSR","ERYTHRITOL_G_NDSR_.DV","INOSITOL_G_NDSR","INOSITOL_G_NDSR_.DV","ISOMALT_G_NDSR","ISOMALT_G_NDSR_.DV","LACTITOL_G_NDSR","LACTITOL_G_NDSR_.DV","MALTITOL_G_NDSR","MALTITOL_G_NDSR_.DV","MANNITOL_G_NDSR","MANNITOL_G_NDSR_.DV","PINITOL_G_NDSR","PINITOL_G_NDSR_.DV","SORBITOL_G_NDSR","SORBITOL_G_NDSR_.DV","XYLITOL_G_NDSR","XYLITOL_G_NDSR_.DV","CAFFEINE_MG_USDA","CAFFEINE_MG_USDA_.DV","SUCRALOSE_MG_NDSR","SUCRALOSE_MG_NDSR_.DV","overall_nutrient_mean","overall_antinutrient_mean","Nutrient_density_numerator","Nutrient_Density_Score","percent_daily_value_nutrient_mean","percent_daily_value_antinutrient_mean","percent_daily_value_numerator","percent_daily_value_Nutrient_Density_Score"
"FFQ_1","Fruits: apples, pears, bananas ","1 med. or 1/2 cup",NA,"Servings in last 2 weeks",0,"1",NA,NA,NA,NA,NA,NA,152.71,96.7766667,0.77666667,1.55333333,0.76987328,1.53974655,4.10666667,14.6666667,4.12279881,14.7242815,0.01,0.00125,3.47666667,0.3862963,32.9933333,4.12416667,10.0833333,1.26041667,7.56666667,14.2767296,50.0266667,100,0,0,0.21333333,1.42222222,0.42317939,2.82119596,3.84666667,3.20555556,8.35,9.27777778,0.03,2.5,0.05666667,4.35897436,0.39666667,2.47916667,0.48555452,3.03471577,0.18333333,10.7843137,13.0566667,3.26416667,13.0566667,3.26416667,13.0566667,3.26416667,0,0,10.36,0.79692308,21.19,1.6952,17.0333333,4.05555556,0.27,1.5,0.14,1.27272727,0.09,10,0.45,0.81818182,1.70333333,0.07405797,250,5.6351773,0.15140158,6.58267754,0.01750426,1.34648154,0,0,2.6053e-05,3.47369e-05,0,0,0,0,0,0,0,0,0,0,25.4066667,19.5435897,16.28,32.56,0.15548327,0.15548327,8.85293134,6.80994718,0.00541687,0.00416682,4.8326532,3.71742554,0,0,0.02972815,0.02286781,2.53601332,1.95077948,2.11271193,1.62516302,4.4003e-05,4.40033e-05,0.00109936,0.00109936,0.04496549,0.04496549,0,0,0,0,0,0,0.28783094,0.28783094,0,0,1.35333059,1.35333059,0.00699806,0.00699806,0,0,0,0,14.5858252433333,0.962819358238095,13.6230058850952,14.0767463373434,5.84262189269167,0.7609572173,5.08166467539167,5.25091930593603
"FFQ_1.1","Fruits: apples, pears, bananas ","1 med. or 1/2 cup",NA,"Servings in last 2 weeks",1,"1",NA,NA,NA,NA,NA,NA,148.943333,94.4366667,0.76,1.52,0.7522654,1.50453079,4,14.2857143,4.00099743,14.2892765,0,0,3.33333333,0.37037037,32.0766667,4.00958333,9.92,1.24,7.36333333,13.8930818,48.62,100,0,0,0.20666667,1.37777778,0.41073062,2.73820416,3.66666667,3.05555556,8.22,9.13333333,0.03,2.5,0.05333333,4.1025641,0.39333333,2.45833333,0.4761709,2.97606813,0.17666667,10.3921569,12.6866667,3.17166667,12.6866667,3.17166667,12.6866667,3.17166667,0,0,9.98333333,0.76794872,20.6733333,1.65386667,16.67,3.96904762,0.26333333,1.46296296,0.13333333,1.21212121,0.09,10,0.44,0.8,1.57666667,0.06855072,250,5.50914894,0.14844554,6.45415391,0.0159992,1.23070795,0,0,3.4797e-05,4.63956e-05,0,0,0,0,0,0,0,0,0,0,24.8033333,19.0794872,15.9433333,31.8866667,0.22020099,0.22020099,8.61986784,6.63066757,0.00516704,0.00397465,4.75136862,3.65489894,0,0,0.04045647,0.03112036,2.49452157,1.91886275,2.08428373,1.60329518,0,0,0.00104953,0.00104953,0.04293314,0.04293314,0,0,0,0,0,0,0.28323376,0.28323376,0,0,1.29848496,1.29848496,0.00689264,0.00689264,0,0,0,0,14.4152812736667,0.945164775714286,13.4701164979524,14.2636509405222,5.76408922043333,0.747410212857143,5.01667900757619,5.31221524740262
"FFQ_2","Fruits: oranges, grapefruit, grapes, melons ","1 med. or 1/2 cup",NA,"Servings in last 2 weeks",0,"1","n/a",NA,NA,NA,NA,NA,133.7325,54.7025,0.93,1.86,0.96103512,1.92207024,1.5475,5.52678571,1.44196818,5.14988635,0,0,34.775,3.86388889,250,47.9009375,8.5875,1.0734375,69.4125,100,59.84,100,250,100,0.1675,1.11666667,0.33398623,2.22657487,3.145,2.62083333,36.04,40.0444444,0.07,5.83333333,0.045,3.46153846,0.3275,2.046875,0.50936284,3.18351773,0.075,4.41176471,15.785,3.94625,15.785,3.94625,15.785,3.94625,0,0,21.64,1.66461538,15.885,1.2708,11.7925,2.8077381,0.235,1.30555556,0.1075,0.97727273,0.0725,8.05555556,0.49,0.89090909,2.2275,0.09684783,205.9875,4.38271277,0.0408972,1.77813911,0.00844075,0.64928827,0.01964157,0.02618877,0.01472814,0.019637526,0,0,0.02462684,0.03283579,0.02461519,0.03282026,0.02461519,0.03282026,0,0,13.8875,10.6826923,11.6775,23.355,0.06415888,0.06415888,4.24138246,3.26260189,0.00199385,0.00153373,3.45577987,2.65829221,0,0,0.07163955,0.05510735,3.05188499,2.34760384,0.01520308,0.01169468,5.2691e-05,5.26913e-05,0.0009634,0.0009634,0.20039766,0.20039766,0,0,0,0,0,0,1.0635e-05,1.0635e-05,0,0,0.01993853,0.01993853,0.00199385,0.00199385,0,0,0,0,33.0085442493333,0.529780926,32.4787633233333,59.373453358317,12.5107103218333,0.410683302204762,12.1000270196286,22.1196965762599
"FFQ_2.1","Fruits: oranges, grapefruit, grapes, melons ","1 med. or 1/2 cup",NA,"Servings in last 2 weeks",1,"1",NA,NA,NA,NA,NA,NA,134.085,54.4775,0.935,1.87,0.95830966,1.91661931,1.4925,5.33035714,1.39803253,4.99297331,0,0,33.0675,3.67416667,250,45.313125,7.5575,0.9446875,71.0575,100,58.445,100,250,100,0.1675,1.11666667,0.32768061,2.18453742,2.9875,2.48958333,35.0325,38.925,0.0675,5.625,0.0425,3.26923077,0.3175,1.984375,0.49940868,3.12130428,0.0725,4.26470588,15.245,3.81125,15.245,3.81125,15.245,3.81125,0,0,21.77,1.67461538,16.035,1.2828,11.9925,2.85535714,0.2525,1.40277778,0.1075,0.97727273,0.075,8.33333333,0.515,0.93636364,1.7875,0.07771739,202.3575,4.30547872,0.0411896,1.79085225,0.00728139,0.56010696,0.01907538,0.02543383,0.01429145,0.019055267,0,0,0.02392679,0.03190239,0.0239081,0.03187747,0.0239081,0.03187747,0,0,13.8225,10.6326923,11.6475,23.295,0.05927179,0.05927179,4.31135761,3.31642893,0.00194243,0.00149417,3.43484101,2.64218539,0,0,0.07599345,0.0584565,3.05909383,2.3531491,0,0,0,0,0.00106896,0.00106896,0.19326739,0.19326739,0,0,0,0,0,0,0,0,0,0,0.01942425,0.01942425,0.00194243,0.00194243,0,0,0,0,32.7484164596667,0.531343007142857,32.2170734525238,59.1383111422584,12.3778354426944,0.411747090952381,11.9660883517421,21.9651936152394
"FFQ_3","Beans: baked, pinto, kidney ","3/4 cup",NA,"Servings in last 2 weeks",0,"1","171","720.1","Beans,",0,0,1,111.56,155.04,7.99,15.98,8.62475876,17.2495175,6.71,23.9642857,8.46368868,30.2274596,0.52,0.065,2.31,0.25666667,22.22,2.7775,0.04,0.005,0.28,0.52830189,14.91,74.55,241.73,100,0.72,4.8,0.84578922,5.63859479,6.33,5.275,1.62,1.8,0.15,12.5,0.06,4.61538462,0.5,3.125,2.32173514,14.5108446,0.13,7.64705882,97.67,24.4175,97.67,24.4175,97.67,24.4175,0,0,43.75,3.36538462,134.97,10.7976,48.15,11.4642857,2.28,12.6666667,1.54,14,0.23,25.5555556,4.84,8.8,250,12.426087,250,8.28553191,0.52270997,22.7265205,0.15573667,11.9797438,0.33432083,0.44576111,0.38044276,0.507257007,0.06420931,0.08561241,0.00022146,0.00029528,0.08558258,0.1141101,0.00202751,0.00270335,0,0,23.53,18.1,2.78,5.56,0.63041042,0.63041042,0.27053212,0.20810163,0.02495021,0.01919247,0.25626999,0.19713076,0.00776145,0.00597035,0.02862574,0.0220198,1.03280401,0.79446462,14.3357464,11.0274973,0.23392863,0.233928633,0,0,0.08063514,0.08063514,0,0,0,0,0,0,0.00956015,0.00956015,0.00412187,0.00412187,0.00037234,0.00037234,0.00014005,0.00014005,0,0,0,0,38.3610894433333,0.805517072380952,37.5555723709524,24.2231503940611,12.4966971938056,0.630168834904762,11.8665283589008,7.65384956069453
"FFQ_3.1","Beans: baked, pinto, kidney ","3/4 cup",NA,"Servings in last 2 weeks",1,"1","171","720.1","Beans,",0,1,1,105.78,147.69,7.67,15.34,8.18057587,16.3611517,6.31,22.5357143,7.79780238,27.8492942,0.8,0.1,2.74,0.30444444,24.26,3.0325,0.05,0.00625,0.35,0.66037736,15.72,78.6,193.46,100,0.66,4.4,0.84008325,5.60055498,6.01,5.00833333,1.64,1.82222222,0.14,11.6666667,0.06,4.61538462,0.5,3.125,2.19970778,13.7481736,0.13,7.64705882,90.2,22.55,90.2,22.55,90.2,22.55,0,0,42.66,3.28153846,128.06,10.2448,45.34,10.7952381,2.27,12.6111111,1.56,14.1818182,0.22,24.4444444,4.54,8.25454545,250,12.0347826,250,7.9293617,0.50712009,22.0486995,0.14452019,11.1169378,0.48764647,0.65019529,0.53316117,0.710881556,0.08378017,0.1117069,0.00027076,0.00036101,0.08896043,0.1186139,0.00239258,0.0031901,0,0,22.29,17.1461538,2.91,5.82,0.71107259,0.71107259,0.28353239,0.21810184,0.02998584,0.02306603,0.26481972,0.20370748,0.00734698,0.00565153,0.03358089,0.02583146,1.11038065,0.85413896,13.445465,10.3426654,0.21923953,0.219239526,0,0,0.08826537,0.08826537,0,0,0,0,0,0,0.00917943,0.00917943,0.00555907,0.00555907,0.00037931,0.00037931,0.00014122,0.00014122,0,0,0,0,36.1950033926667,0.771854666190476,35.4231487264762,23.9847983793596,12.300762901,0.605095200761905,11.6956677002381,7.9190654074332
"FFQ_4","Refried beans ","1/2 cup",NA,"Servings in last 2 weeks",0,"1","172","720.2","Beans/ refried,",0,0,1,106.36,145.22,6.62,13.24,5.47483646,10.9496729,6.45,23.0357143,4.110032,14.6786857,1.46,0.1825,1.59,0.17666667,1.62,0.2025,0.16,0.02,0.27,0.50943396,0.13,0.65,0,0,0.62,4.13333333,0.37389185,2.4926123,6.03,5.025,3.4,3.77777778,0.1,8.33333333,0.04,3.07692308,0.39,2.4375,1.54621438,9.66383986,0.15,8.82352941,65.2,16.3,65.2,16.3,65.2,16.3,0,0,41.54,3.19538462,122.83,9.8264,42.01,10.002381,1.75,9.72222222,0.78,7.09090909,0.18,20,6.45,11.7272727,250,16.3434783,250,7.9987234,0.31574564,13.7280713,0.22451992,17.2707634,0.00553816,0.00738421,0.00330088,0.004401175,0,0,0,0,0,0,0,0,0,0,18.78,14.4461538,0.77,1.54,0.0072244,0.0072244,0.00494301,0.00380231,0,0,0,0,0.01071005,0.0082385,0,0,0.57136594,0.43951226,8.14921093,6.26862379,0.09983487,0.09983487,0,0,0.01332626,0.01332626,0,0,0,0,0,0,1.2674e-05,1.2674e-05,0,0,0,0,0,0,0,0,0,0,27.1066341956667,0.421744196857143,26.6848899988095,18.375492355605,6.04982018180556,0.325741669714286,5.72407851209127,3.9416599036574
"FFQ_4.1","Refried beans ","1/2 cup",NA,"Servings in last 2 weeks",1,"1","172","720.2","Beans/ refried,",0,1,1,98.96,133.87,6.2,12.4,5.16460321,10.3292064,6.03,21.5357143,3.92026197,14.0009356,2.19,0.27375,2.25,0.25,0.99,0.12375,0.04,0.005,0.07,0.13207547,0.06,0.3,0,0,0.56,3.73333333,0.41760113,2.78400755,5.91,4.925,2.99,3.32222222,0.09,7.5,0.04,3.07692308,0.37,2.3125,1.44177207,9.01107543,0.14,8.23529412,59.18,14.795,59.18,14.795,59.18,14.795,0,0,40.77,3.13615385,115.67,9.2536,39.22,9.33809524,1.63,9.05555556,0.73,6.63636364,0.17,18.8888889,6.12,11.1272727,250,15.7591304,250,7.47425532,0.29818757,12.964677,0.20947645,16.1135731,0.0052198,0.00695974,0.00310471,0.004139609,0,0,0,0,0,0,0,0,0,0,17.28,13.2923077,0.71,1.42,0.02936411,0.02936411,0.02009123,0.01545479,0,0,0,0,0.00842818,0.00648321,0,0,0.53286088,0.40989298,7.69205604,5.91696619,0.08566715,0.085667154,0,0,0.01260622,0.01260622,0,0,0,0,0,0,5.1516e-05,5.1516e-05,0,0,0,0,0,0,0,0,0,0,26.494671011,0.399101206,26.095569805,19.4932171547023,5.68123137497222,0.308404103333333,5.37282727163889,4.01346625206461
"FFQ_5","Fresh/cooked spinach ","3/4 cup",NA,"Servings in last 2 weeks",0,"1","183","820.1","Ckd spinach/greens, no fat added,",0,0,1,123.95,32.41,3.24,6.48,4.01574814,8.03149629,3.43,12.25,4.24447595,15.1588427,0,0,250,67.1833333,250,100,27.33,3.41625,8.77,16.5471698,250,100,0,0,2.03,13.5333333,4.13072366,27.5381577,250,100,21.29,23.6555556,0.07,5.83333333,0.19,14.6153846,0.61,3.8125,1.88328662,11.7705414,0.2,11.7647059,106.95,26.7375,106.95,26.7375,106.95,26.7375,0,0,157.6,12.1230769,51.37,4.1096,66.33,15.7928571,2.62,14.5555556,0.55,5,0.17,18.8888889,1.6,2.90909091,250,15.2195652,250,7.93468085,0.73773519,32.0754432,0.27708255,21.3140424,0,0,0,0,0,0,0.00068768,0.00091691,0,0,0,0,0,0,5.55,4.26923077,0.7,1.4,0,0,0.23586085,0.18143142,0,0,0.32402129,0.24924715,0,0,0,0,0.16642822,0.12802171,0.54819798,0.42169075,0,0,0,0,0.03903168,0.03903168,0,0,0,0,0,0,0,0,0,0,0,0,0.00766245,0.00766245,0,0,0,0,65.4098588496667,0.0629144033333333,65.3469444463333,201.625869936234,18.9082763108333,0.0489088171428571,18.8593674936905,58.1899644976565
"FFQ_5.1","Fresh/cooked spinach ","3/4 cup",NA,"Servings in last 2 weeks",1,"1","183","820.1","Ckd spinach/greens, no fat added,",0,1,1,115.24,30.31,2.76,5.52,3.4552237,6.91044741,3.44,12.2857143,4.20896546,15.0320195,0,0,250,56.6588889,250,100,38.29,4.78625,10.58,19.9622642,250,100,0,0,1.87,12.4666667,3.42316281,22.8210854,250,100,22.15,24.6111111,0.06,5,0.14,10.7692308,0.6,3.75,1.5949851,9.96865688,0.17,10,103.23,25.8075,103.23,25.8075,103.23,25.8075,0,0,157.31,12.1007692,42.9,3.432,46.42,11.052381,1.8,10,0.38,3.45454545,0.16,17.7777778,1.43,2.6,250,14.0143478,250,6.04446809,0.65460262,28.4609833,0.21048405,16.1910811,0,0,0,0,0,0,0.00099164,0.00132219,0,0,0,0,0,0,5.36,4.12307692,0.65,1.3,0,0,0.17490581,0.13454293,0.00652446,0.00501882,0.28597517,0.2199809,0,0,0,0,0.11739032,0.09030024,0.70661397,0.54354921,0,0,0,0,0.0303525,0.0303525,0,0,0,0,0,0,0,0,0,0,1.9857e-05,1.9857e-05,0.00526642,0.00526642,0,0,0,0,64.6777479546667,0.063192786047619,64.614555168619,213.179000886239,17.6877353677778,0.0490014703333333,17.6387338974444,58.1944371410242
"FFQ_6","Green salad ","1 med. bowl","""Lettuce salad"" ","Servings in last 2 weeks",0,"1",NA,NA,NA,NA,NA,NA,41.475,6.66,0.5,1,0.48063437,0.96126874,0.79,2.82142857,0.6983886,2.49424499,0,0,66.025,7.33611111,250,98.99375,0.87,0.10875,0,0,250,100,0,0,0.205,1.36666667,0.17941868,1.1961245,49.36,41.1333333,3.32,3.68888889,0.025,2.08333333,0.025,1.92307692,0.11,0.6875,0.17328491,1.08303069,0.025,1.47058824,31.835,7.95875,31.835,7.95875,31.835,7.95875,0,0,16.06,1.23538462,11.31,0.9048,6.435,1.53214286,0.31,1.72222222,0.125,1.13636364,0.03,3.33333333,0.1,0.18181818,8.255,0.35891304,96.13,2.04531915,0.08004255,3.48011107,0.03244593,2.49584112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.35,1.03846154,0.565,1.13,0,0,0.34607548,0.26621191,0.00579637,0.00445875,0.26274966,0.20211512,0,0,0,0,0.01379856,0.01061428,0.00213413,0.00164164,0,0,0,0,0.00691864,0.00691864,0,0,0,0,0,0,0.00042683,0.00042683,0,0,0,0,0.00289096,0.00289096,0,0,0,0,26.410697671,0.0305138395238095,26.3801838314762,396.098856328471,8.04061025694445,0.0235846728571429,8.0170255840873,120.37575952083
"FFQ_6.1","Green salad ","1 med. bowl","""Lettuce salad"" ","Servings in last 2 weeks",0,"1",NA,NA,NA,NA,NA,NA,42.655,6.92,0.52,1.04,0.49366809,0.98733618,0.82,2.92857143,0.72101196,2.57504273,0.005,0.000625,68.845,7.64944444,250,100,0.86,0.1075,0,0,250,100,0,0,0.215,1.43333333,0.18383926,1.22559507,51.5,42.9166667,3.36,3.73333333,0.025,2.08333333,0.025,1.92307692,0.115,0.71875,0.17910692,1.11941827,0.025,1.47058824,33.165,8.29125,33.165,8.29125,33.165,8.29125,0,0,16.585,1.27576923,11.7,0.936,6.615,1.575,0.32,1.77777778,0.13,1.18181818,0.03,3.33333333,0.11,0.2,8.4,0.36521739,99.59,2.11893617,0.08168084,3.551341,0.03354998,2.58076781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.395,1.07307692,0.575,1.15,0,0,0.35529547,0.27330421,0.00591172,0.00454748,0.26764115,0.20587781,0,0,0,0,0.01374415,0.01057242,0.00213361,0.00164124,0,0,0,0,0.00710899,0.00710899,0,0,0,0,0,0,0.00042672,0.00042672,0,0,0,0,0.00297487,0.00297487,0,0,0,0,26.781291671,0.0312017466666667,26.7500899243333,386.561993126204,8.15606952305555,0.0241168447619048,8.13195267829365,117.513767027365
"FFQ_7","Salad dressing or mayonnaise ","2 Tbsp",NA,"Servings in last 2 weeks",0,"1",NA,NA,NA,NA,NA,NA,22.175,115.885,0.2,0.4,0.01017515,0.02035029,0.02,0.07142857,0.00831976,0.02971342,7.46,0.9325,7.805,0.86722222,4.325,0.540625,0,0,1.515,2.85849057,16.62,83.1,14.7,19.6,0.95,6.33333333,1.6841374,11.2275826,15.865,13.2208333,0.08,0.08888889,0.015,1.25,0.01,0.76923077,0.01,0.0625,0.09616475,0.60102968,0.05,2.94117647,0.66,0.165,0.66,0.165,0.66,0.165,0,0,3.29,0.25307692,8.185,0.6548,0.52,0.12380952,0.08,0.44444444,0.035,0.31818182,0.005,0.55555556,0.415,0.75454545,185.085,8.04717391,9.34,0.1987234,0.0055213,0.2400563,0.97011896,74.6245352,6.4271e-06,8.5695e-06,0,0,0,0,0,0,1.0722e-05,1.4296e-05,0,0,0,0,1.5,1.15384615,1.165,2.33,0.78275875,0.78275875,0.09941856,0.07647581,0.00165692,0.00127456,0.11407713,0.08775164,0.32334655,0.24872812,0.00092418,0.00071091,0.61918177,0.47629367,0.008573,0.00659462,0.0429193,0.042919298,1.5733e-05,1.5733e-05,0.00082533,0.00082533,0,0,0,0,0,0,0.00107088,0.00107088,4.9064e-05,4.9064e-05,0.00399493,0.00399493,2.5117e-05,2.5117e-05,0,0,0,0,9.29827575233333,0.0951827244761905,9.20309302785714,7.94157399823717,6.23025108098611,0.082356592,6.14789448898611,5.3051684764949
"FFQ_7.1","Salad dressing or mayonnaise ","2 Tbsp",NA,"Servings in last 2 weeks",1,"1",NA,NA,NA,NA,NA,NA,20.235,102.74,0.185,0.37,0.00657365,0.01314729,0.02,0.07142857,0.0050296,0.01796286,4.645,0.580625,4.895,0.54388889,3.445,0.430625,0,0,1.055,1.99056604,9.31,46.55,11.37,15.16,0.805,5.36666667,1.61386851,10.7591234,18.375,15.3125,0.07,0.07777778,0.005,0.41666667,0.01,0.76923077,0.01,0.0625,0.09052584,0.56578648,0.03,1.76470588,0.595,0.14875,0.595,0.14875,0.595,0.14875,0,0,3.21,0.24692308,9.165,0.7332,0.495,0.11785714,0.075,0.41666667,0.035,0.31818182,0,0,0.41,0.74545455,174.88,7.60347826,8.885,0.18904255,0.00477482,0.20760078,0.88005193,67.6963024,5.6844e-06,7.5792e-06,0,0,0,0,2.6682e-07,3.5576e-07,8.7238e-06,1.1632e-05,0,0,0,0,1.29,0.99230769,1.025,2.05,0.72137674,0.72137674,0.0867095,0.06669962,0.00163644,0.0012588,0.10279064,0.07906973,0.32096173,0.24689364,0.00047421,0.00036477,0.56929578,0.43791983,0.00567202,0.0043631,0.03937703,0.039377027,1.1853e-05,1.1853e-05,0.00068671,0.00068671,0,0,0,0,0,0,0.00069087,0.00069087,4.7539e-06,4.7539e-06,0.00351521,0.00351521,1.8481e-05,1.8481e-05,0,0,0,0,8.45550995033333,0.0882486651380952,8.36726128519524,8.14411259995643,4.81229989991556,0.0762976730904762,4.73600222682508,4.60969654158563
"FFQ_8","Corn, Peas ","1/2 cup",NA,"Servings in last 2 weeks",0,"1",NA,NA,NA,NA,NA,NA,91.67,75.445,3.565,7.13,3.36806691,6.73613383,3.245,11.5892857,3.06472218,10.9454363,0,0,33.415,3.71277778,250,46.70625,14.305,1.788125,42.405,80.009434,250,100,0,0,0.11,0.73333333,0.18501675,1.23344503,11.895,9.9125,7.885,8.76111111,0.12,10,0.065,5,1.19,7.4375,1.63492823,10.2183015,0.095,5.58823529,38.19,9.5475,38.19,9.5475,38.19,9.5475,0,0,13.61,1.04692308,68.755,5.5004,22.84,5.43809524,0.885,4.91666667,0.615,5.59090909,0.08,8.88888889,0.91,1.65454545,194.465,8.455,169.905,3.615,0.18758162,8.15572239,0.02575683,1.98129446,0.00047179,0.00062905,0.00111315,0.001484205,0,0,0.00012089,0.00016119,0.39061421,0.52081894,0,0,0,0,15.485,11.9115385,3.99,7.98,0.0496474,0.0496474,0.31657967,0.24352282,0.02288329,0.01760253,0.41672533,0.32055795,0,0,0.08579917,0.06599936,2.89046997,2.22343843,6.21017235,4.77705565,0,0,0,0,0.02852654,0.02852654,0,0,0,0,0,0,0.00565276,0.00565276,0,0,0.03626721,0.03626721,0,0,0,0,0,0,37.7342048096667,0.479177318571429,37.2550274910952,49.3803797350325,10.2854163054167,0.36991765,9.91549865541667,13.1426849432257
